fecha,sesiones,paginas_leidas
2023-11-01,1,49.0
2023-11-05,1,59.0
2024-01-03,1,55.0
2024-01-08,1,34.0
2024-01-13,1,58.0
2024-01-14,1,49.0
2024-02-04,1,51.0
2024-02-05,1,38.0
2024-02-23,1,33.0
2024-02-28,1,113.0
2024-03-17,1,79.0
2024-04-02,1,65.0
2024-04-12,1,55.0
2024-04-19,1,122.0
2024-04-26,1,120.0
2024-04-27,1,106.0
2024-05-13,1,71.0
2024-05-16,1,47.0
2024-05-22,1,48.0
2024-05-27,1,91.0
2024-05-31,1,81.0
2024-07-03,1,100.0
2024-07-13,1,78.0
2024-07-14,1,52.0
2024-07-19,1,72.0
2024-07-25,1,40.0
2024-07-26,1,106.0
2024-07-27,1,45.0
2024-07-28,1,115.0
2024-07-30,1,72.0
2024-08-07,1,79.0
2024-10-19,1,33.0
2024-11-05,1,2.0
2024-11-13,1,31.0
2024-11-14,1,28.0
2025-01-05,1,94.0
2025-01-13,1,103.0
2025-01-14,1,114.0
2025-01-20,1,69.0
2025-01-22,1,83.0
2025-01-28,1,99.0
2025-01-31,1,25.0
2025-02-11,1,15.0
2025-02-12,1,132.0
2025-03-03,1,22.0
2025-03-12,1,40.0
2025-03-23,1,36.0
2025-04-06,1,38.0
2025-04-11,1,13.0
2025-04-20,1,12.0
2025-05-09,1,8.0
2025-05-15,1,13.0
2025-05-20,1,34.0
2025-06-02,1,25.0
2025-06-08,1,13.0
2025-06-24,1,9.0
2025-06-26,1,95.0
2025-06-28,1,30.0
2025-07-15,2,60.0
2025-07-24,1,46.0
2025-09-11,1,21.0
2025-09-29,1,22.0
2025-10-06,1,23.0
2025-10-27,1,20.0
2025-10-30,1,13.0
2025-11-09,1,18.0
