anio,mes,mes_nombre,tipo,sesiones,paginas_leidas
2024,1,enero,novela,1,101.0
2024,2,febrero,novela,2,409.0
2024,7,julio,novela,3,279.0
2024,8,agosto,novela,1,59.0
2024,9,septiembre,novela,3,198.0
2024,10,octubre,novela,3,916.0
2024,11,noviembre,novela,2,498.0
2024,12,diciembre,novela,2,489.0
2025,1,enero,comic,3,309.0
2025,1,enero,cuentos,3,114.0
2025,1,enero,manga,1,127.0
2025,1,enero,novela,2,802.0
2025,2,febrero,comic,1,84.0
2025,2,febrero,novela,1,0.0
2025,7,julio,novela,4,1393.0
2025,8,agosto,novela,5,1329.0
2025,9,septiembre,manga,1,0.0
2025,9,septiembre,novela,2,0.0
2025,10,octubre,comic,1,41.0
2025,10,octubre,cuentos,1,0.0
2025,10,octubre,manga,1,57.0
2025,10,octubre,novela,1,0.0
2025,11,noviembre,comic,1,0.0
2025,11,noviembre,cuentos,1,0.0
2025,11,noviembre,manga,1,0.0
2025,12,diciembre,comic,2,0.0
2025,12,diciembre,novela,7,1068.0
